28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2813300281890215052902.60V02.20V01.20V00.90V01.20V01.10V00.80V01.90V01.30V01.70V02.40V03.40V02.20V02.70V04.60V04.40V03.50V02.90V01.50V03.30V03.00V01.10V01.40V01.00V
2813300282890215052900304V00296V00343V00351V00.00V00352V00147V082.0V02.00V077.0V00136V00176V00180V00248V00294V00293V00294V00309V00199V00199V00212V00176V00270V00300V
28133002838902150529023.1V022.1V021.3V019.4V018.5V018.8V021.5V022.3V024.2V027.4V029.6V029.9V030.4V029.7V019.0V020.4V019.3V020.1V020.7V019.9V019.4V019.0V018.0V017.2V
28133002868902150529035.0V037.0V036.0V042.0V044.0V045.0V041.0V042.0V038.0V034.0V031.0V031.0V033.0V036.0V065.0V059.0V062.0V055.0V056.0V059.0V062.0V060.0V070.0V072.0V
2813300287890215052900934V00934V00933V00934V00934V00934V00935V00935V00935V00934V00934V00934V00934V00933V00935V00934V00935V00934V00934V00935V00935V00935V00936V00936V
2813300288890215052904.00V04.00V04.00V04.00V04.00V09.00V00115V00192V00428V00569V00617V00467V00378V077.0V010.0V075.0V015.0V028.0V04.00V04.00V04.00V04.00V04.00V04.00V
2813300289890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V02.60V00.40V01.00V00.20V00.00V00.00V00.20V00.00V00.00V00.00V
2814800407080215052901.00V01.00V01.00V01.00V01.00V013.0V018.0V*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2814800408080215052906.00V04.00V07.00V014.0V033.0V060.0V057.0V*****N*****N012.0V019.0V020.0V014.0V08.00V09.00V011.0V018.0V021.0V024.0V023.0V021.0V017.0V021.0V031.0V
2814800409490215052906.00V012.0V010.0V06.00V04.00V05.00V019.0V018.0V03.00V04.00V06.00V012.0V011.0V012.0V08.00V05.00V07.00V06.00V05.00V06.00V06.00V05.00V07.00V012.0V
28148004104902150529026.0V08.00V014.0V023.0V027.0V040.0V080.0V045.0V018.0V027.0V032.0V035.0V035.0V043.0V037.0V032.0V020.0V024.0V042.0V038.0V030.0V013.0V020.0V017.0V
28148004140602150529090.0V094.0V085.0V071.0V036.0V011.0V015.0V*****N*****N088.0V086.0V091.0V00102V00108V00116V00100V090.0V084.0V084.0V082.0V085.0V086.0V070.0V051.0V
2814800481890215052901.50V00.90V00.50V01.20V01.10V01.10V00.60V00.60V00.80V00.60V00.90V01.40V02.20V03.90V02.90V01.90V01.60V02.00V01.60V00.80V00.90V00.30V00.10V00.20V
28148004828902150529086.0V099.0V064.0V039.0V036.0V051.0V057.0V083.0V00144V00218V00228V00196V00192V00180V00197V00122V00233V00231V00214V00240V00279V00297V069.0V00235V
28148004838902150529019.9V018.5V018.0V017.0V015.4V015.4V017.4V019.3V020.9V022.4V023.7V024.4V025.4V026.5V028.0V024.6V025.3V024.2V022.9V021.3V020.6V019.1V018.0V016.8V
28148004868902150529037.0V038.0V039.0V040.0V042.0V044.0V043.0V039.0V037.0V036.0V035.0V034.0V033.0V031.0V030.0V032.0V030.0V032.0V034.0V035.0V037.0V040.0V042.0V044.0V
2814800487890215052900931V00931V00930V00930V00930V00930V00931V00932V00932V00932V00932V00932V00931V00931V00930V00930V00930V00931V00930V00932V00932V00933V00932V00932V
2814800488890215052901.00V01.00V01.00V01.00V02.00V042.0V00196V00339V00492V00458V00447V00499V00609V00840V00731V00165V00223V00142V049.0V02.00V01.00V02.00V02.00V01.00V
2814800489890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.20V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2816100107080215052901.00V01.00V01.00V01.00V02.00V011.0V06.00V04.00V03.00V02.00V02.00V02.00V03.00V02.00V02.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28161001080802150529026.0V011.0V012.0V019.0V026.0V051.0V027.0V012.0V012.0V010.0V011.0V010.0V011.0V07.00V010.0V07.00V08.00V08.00V06.00V07.00V06.00V04.00V09.00V09.00V
2816100109490215052906.00V06.00V05.00V012.0V08.00V07.00V011.0V012.0V014.0V012.0V012.0V029.0V08.00V016.0V015.0V015.0V013.0V03.00V03.00V03.00V02.00V02.00V08.00V09.00V
28161001140602150529053.0V078.0V075.0V065.0V057.0V024.0V062.0V085.0V083.0V094.0V098.0V00105V00101V00117V00115V00102V00104V00102V00111V00104V00105V00108V094.0V085.0V
2816100181890215052901.10V01.50V01.40V01.50V01.50V01.40V01.30V01.70V01.60V01.40V01.20V02.00V02.30V02.90V03.10V05.90V04.40V06.70V05.90V06.90V04.60V04.20V01.40V02.20V
2816100182890215052900165V00144V00130V00131V00143V00134V00120V00123V00155V00292V00250V00240V00215V00257V00284V00322V00310V00308V00310V00311V00310V00314V00271V00311V
28161001838902150529019.6V018.6V017.0V015.9V015.5V016.3V018.9V021.2V022.2V023.8V026.0V027.0V027.0V030.0V028.2V019.9V022.7V021.7V021.0V019.1V019.8V018.6V018.2V017.3V
28161001868902150529040.0V043.0V047.0V048.0V051.0V052.0V045.0V038.0V036.0V032.0V029.0V027.0V029.0V021.0V023.0V053.0V038.0V044.0V041.0V051.0V045.0V050.0V050.0V052.0V
2816100187890215052900946V00945V00946V00946V00946V00946V00946V00946V00947V00946V00946V00946V00945V00945V00944V00945V00945V00946V00945V00946V00947V00947V00948V00948V
2816100188890215052904.00V04.00V04.00V04.00V04.00V082.0V00254V00452V00440V00366V00450V00476V00627V00910V00279V043.0V00197V00152V015.0V04.00V04.00V04.00V04.00V04.00V
2816100189890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2817100101380215052902.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2817100106480215052900.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V00.20V
2817100107080215052901.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2817100108080215052905.00V05.00V08.00V07.00V06.00V08.00V09.00V012.0V011.0V013.0V05.00V03.00V02.00V02.00V03.00V03.00V04.00V04.00V05.00V05.00V05.00V05.00V09.00V012.0V
28171001094902150529014.0V013.0V010.0V016.0V014.0V010.0V015.0V019.0V015.0V017.0V018.0V021.0V028.0V024.0V038.0V026.0V012.0V010.0V08.00V08.00V06.00V04.00V06.00V06.00V
28171001104902150529016.0V014.0V018.0V019.0V018.0V027.0V045.0V039.0V030.0V034.0V031.0V031.0V040.0V036.0V067.0V052.0V016.0V021.0V019.0V015.0V016.0V016.0V019.0V015.0V
28171001140602150529072.0V075.0V072.0V071.0V071.0V065.0V067.0V080.0V090.0V097.0V00114V00121V00125V00123V094.0V093.0V00105V099.0V093.0V085.0V085.0V080.0V055.0V032.0V
2817100181890215052902.20V02.10V02.50V02.10V01.60V01.70V01.60V03.10V03.20V02.10V02.50V04.10V04.10V03.80V06.10V04.60V06.80V04.50V04.50V04.30V04.10V02.10V01.30V01.00V
28171001828902150529024.0V043.0V032.0V070.0V026.0V028.0V028.0V00129V041.0V038.0V00143V00159V00183V00173V00220V00242V00239V00213V00149V00174V00167V00157V00197V00217V
28171001838902150529018.3V017.9V017.3V017.1V015.8V015.9V018.1V021.0V023.1V025.7V027.9V028.5V029.1V029.5V018.5V022.5V022.2V020.2V019.3V016.7V016.3V016.7V015.2V014.1V
28171001868902150529039.0V038.0V036.0V038.0V044.0V047.0V045.0V039.0V035.0V030.0V025.0V024.0V023.0V022.0V065.0V043.0V039.0V050.0V057.0V077.0V081.0V077.0V091.0V099.0V
2817100187890215052900958V00958V00958V00958V00958V00959V00959V00959V00959V00959V00958V00958V00957V00957V00958V00958V00957V00958V00959V00960V00960V00961V00961V00961V
2817100188890215052901.00V01.00V01.00V01.00V02.00V079.0V00237V00461V00619V00767V00923V00886V00790V00607V052.0V00319V00115V021.0V03.00V01.00V01.00V01.00V01.00V01.00V
2817100189890215052900.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V021.8V00.00V00.00V00.20V00.60V00.20V00.00V00.00V00.00V00.00V
2818000107080215052901.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28180001080802150529014.0V04.00V04.00V05.00V07.00V020.0V019.0V013.0V016.0V012.0V010.0V010.0V08.00V04.00V06.00V09.00V012.0V013.0V09.00V013.0V09.00V011.0V014.0V022.0V
28180001094902150529016.0V013.0V011.0V013.0V013.0V012.0V011.0V013.0V011.0V012.0V013.0V011.0V09.00V08.00V09.00V011.0V012.0V011.0V09.00V09.00V08.00V07.00V013.0V015.0V
28180001140602150529076.0V090.0V086.0V086.0V079.0V062.0V063.0V070.0V063.0V069.0V083.0V087.0V094.0V00101V00104V00102V087.0V087.0V089.0V081.0V088.0V080.0V076.0V062.0V
2818000181890215052902.70V02.90V02.00V02.30V01.20V02.20V01.20V00.70V00.50V01.30V01.70V01.30V02.10V02.30V01.90V02.00V01.50V02.10V03.20V01.80V00.90V00.50V00.60V00.40V
2818000182890215052900216V00208V00208V00207V00201V00210V00189V00178V00103V00225V00192V00203V00247V00264V00274V00273V00248V00287V00272V00278V079.0V00101V00225V00248V
28180001838902150529016.1V015.1V014.6V014.1V013.6V013.2V014.0V015.5V016.7V018.2V019.7V022.1V023.3V025.1V025.0V024.3V020.9V021.2V018.8V017.4V017.5V017.2V016.6V015.8V
28180001868902150529042.0V042.0V048.0V051.0V051.0V055.0V049.0V045.0V044.0V042.0V037.0V031.0V028.0V024.0V024.0V025.0V031.0V030.0V041.0V046.0V045.0V045.0V046.0V050.0V
2818000187890215052900923V00922V00922V00922V00922V00922V00923V00923V00923V00923V00923V00922V00922V00922V00921V00921V00921V00922V00922V00923V00924V00924V00924V00924V
2818000188890215052904.00V04.00V04.00V04.00V06.00V066.0V00103V00178V00199V00285V00419V00454V00729V00883V00500V00274V00130V00102V055.0V05.00V04.00V04.00V04.00V04.00V
2818000189890215052900.00V00.00V00.00V00.00V00.00V01.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800500201380215053001.00V01.00V01.00V01.00V01.00V01.00V02.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2800500206480215053000.40V00.30V00.30V00.30V00.30V00.40V00.40V00.40V00.40V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.40V00.40V00.40V00.40V00.30V00.30V
2800500207080215053002.00V02.00V02.00V03.00V08.00V016.0V019.0V018.0V08.00V03.00V03.00V04.00V04.00V01.00V03.00V02.00V01.00V03.00V04.00V04.00V04.00V02.00V01.00V02.00V
28005002080802150530042.0V038.0V041.0V032.0V043.0V042.0V038.0V041.0V028.0V018.0V017.0V017.0V020.0V09.00V020.0V019.0V012.0V019.0V028.0V052.0V045.0V031.0V020.0V026.0V
28005002104902150530019.0V019.0V022.0V024.0V026.0V027.0V023.0V017.0V024.0V036.0V036.0V026.0V015.0V019.0V028.0V017.0V014.0V013.0V06.00V011.0V015.0V014.0V017.0V019.0V
28005002140602150530040.0V033.0V017.0V020.0V04.00V04.00V012.0V023.0V058.0V089.0V00110V00121V00132V00129V00116V00114V00122V00111V00103V074.0V063.0V064.0V070.0V062.0V
2800500281890215053000.80V01.40V01.30V01.20V01.20V01.60V01.70V01.30V01.20V01.30V01.30V01.60V01.90V01.80V02.10V01.60V01.30V01.10V01.20V01.10V01.10V01.90V02.60V02.50V
28005002828902150530084.0V00125V00111V095.0V087.0V00105V00112V00118V00127V00111V00315V00293V00294V00293V040.0V033.0V00313V00342V00322V033.0V023.0V073.0V096.0V00108V
28005002838902150530017.3V016.5V015.2V014.3V013.7V013.9V015.7V019.0V022.4V025.0V028.0V028.6V029.4V028.7V026.8V027.1V028.7V028.8V027.6V026.4V024.6V022.6V020.4V018.7V
28005002868902150530059.0V066.0V076.0V081.0V087.0V084.0V074.0V059.0V044.0V035.0V027.0V025.0V023.0V021.0V025.0V026.0V020.0V020.0V022.0V024.0V026.0V029.0V044.0V052.0V
2800500287890215053000936V00936V00936V00936V00936V00937V00937V00937V00937V00937V00937V00936V00935V00935V00935V00935V00935V00934V00935V00935V00936V00937V00937V00937V
2800500288890215053004.00V04.00V04.00V04.00V04.00V062.0V00238V00418V00589V00741V00853V00917V00952V00490V00177V00365V048.0V072.0V027.0V04.00V04.00V04.00V04.00V04.00V
2800500289890215053000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800600407080215053002.00V02.00V02.00V03.00V02.00V04.00V04.00V04.00V05.00V05.00V05.00V04.00V01.00V01.00V02.00V02.00V01.00V02.00V01.00V02.00V02.00V02.00V03.00V02.00V
28006004080802150530010.0V07.00V09.00V09.00V09.00V014.0V011.0V011.0V013.0V018.0V020.0V018.0V08.00V06.00V06.00V06.00V04.00V06.00V07.00V013.0V020.0V023.0V017.0V09.00V
28006004104902150530015.0V012.0V012.0V012.0V013.0V016.0V013.0V012.0V010.0V015.0V017.0V019.0V019.0V013.0V018.0V013.0V011.0V015.0V017.0V016.0V017.0V015.0V017.0V016.0V
28006004140602150530081.0V080.0V064.0V062.0V062.0V040.0V057.0V065.0V076.0V085.0V00100V00117V00134V00118V00107V00111V00119V00121V00115V093.0V077.0V068.0V070.0V084.0V
2800600420590215053000.60V03.40V01.20V00.80V00.60V00.60V00.80V00.70V00.70V00.60V00.90V01.10V00.80V00.70V00.80V00.90V03.90V00.60V00.50V00.50V00.60V00.80V00.70V00.60V
2800600430590215053000.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V
2800600431590215053000.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.80V00.90V00.80V00.80V00.70V01.00V01.60V00.90V00.70V00.70V00.80V01.00V00.80V00.70V
2800600442020215053005.80V05.70V05.80V05.90V05.90V06.00V05.90V05.90V05.90V05.90V06.00V06.00V05.70V05.60V05.70V05.80V05.70V05.70V05.70V05.90V05.90V06.30V06.60V05.70V
2800600444020215053000.10V00.10V00.10V00.20V00.10V00.20V00.10V00.10V00.10V00.10V00.20V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.20V00.20V00.20V00.10V
2800600481890215053000.70V00.80V00.50V00.70V00.70V00.50V01.20V01.30V01.10V01.50V01.90V02.60V02.60V01.90V01.70V01.10V01.70V01.60V00.90V01.60V01.30V01.50V01.50V01.50V
28006004828902150530084.0V070.0V00112V037.0V049.0V00106V080.0V00100V00130V00201V00217V00224V00234V00255V00305V00224V00277V00299V00298V00330V00324V00334V049.0V051.0V
28006004838902150530018.2V017.3V016.2V015.8V015.0V014.5V016.5V018.2V020.8V023.2V025.5V027.1V028.2V026.9V024.2V027.5V029.7V029.6V029.8V028.2V025.7V024.4V021.7V019.9V
28006004868902150530068.0V071.0V076.0V077.0V079.0V081.0V073.0V068.0V061.0V054.0V048.0V042.0V036.0V037.0V049.0V039.0V032.0V034.0V031.0V027.0V030.0V033.0V041.0V055.0V
2800600487890215053000936V00936V00937V00937V00937V00937V00937V00938V00938V00938V00937V00937V00936V00936V00937V00936V00936V00936V00936V00936V00937V00937V00938V00938V
2800600488890215053005.00V05.00V05.00V05.00V05.00V05.00V062.0V00316V00536V00716V00855V00945V00608V027.0V052.0V00594V00476V00248V020.0V05.00V05.00V05.00V05.00V05.00V
2800600489890215053000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800700407080215053001.00V01.00V01.00V01.00V01.00V02.00V09.00V018.0V09.00V07.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V02.00V01.00V01.00V01.00V
28007004080802150530018.0V020.0V014.0V012.0V039.0V038.0V045.0V051.0V035.0V034.0V015.0V09.00V08.00V06.00V07.00V08.00V07.00V08.00V011.0V023.0V033.0V045.0V041.0V032.0V
2800700409490215053003.00V04.00V07.00V06.00V05.00V06.00V08.00V016.0V018.0V06.00V02.00V04.00V01.00V01.00V06.00V05.00V011.0V03.00V07.00V07.00V013.0V09.00V04.00V04.00V
28007004140602150530079.0V069.0V078.0V079.0V038.0V046.0V038.0V039.0V066.0V084.0V00120V00133V00131V00132V00120V00120V00123V00122V00114V088.0V073.0V056.0V055.0V061.0V
2800700481890215053000.50V00.40V00.20V00.20V00.50V00.80V00.80V00.90V00.90V01.30V01.90V02.60V02.90V02.60V03.00V02.00V02.10V01.30V01.70V01.60V00.80V00.90V01.40V01.60V
28007004828902150530012.0V00203V00308V099.0V038.0V051.0V00101V00106V00175V00197V00233V00251V00248V00243V00296V00285V00257V00268V00289V00340V00357V00343V00314V02.00V
28007004838902150530016.8V016.5V016.0V016.4V015.5V015.7V017.8V019.4V021.2V023.0V024.1V025.3V026.2V027.1V025.9V025.3V026.8V027.0V027.3V025.4V023.3V021.9V021.2V020.1V
28007004868902150530062.0V064.0V065.0V062.0V067.0V066.0V058.0V053.0V045.0V038.0V034.0V032.0V030.0V026.0V027.0V031.0V029.0V027.0V022.0V020.0V023.0V026.0V027.0V030.0V
2800700487890215053000939V00939V00939V00939V00939V00940V00941V00942V00942V00942V00943V00942V00941V00941V00941V00940V00940V00940V00940V00940V00941V00941V00941V00941V
2800700488890215053004.00V04.00V04.00V04.00V04.00V021.0V00156V00335V00516V00678V00813V00891V00919V00851V00355V00240V00500V00207V00125V05.00V04.00V04.00V04.00V04.00V
2800700489890215053000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800900107080215053001.00V01.00V01.00V01.00V01.00V01.00V02.00V02.00V02.00V01.00V02.00V04.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V
28009001080802150530020.0V014.0V011.0V014.0V07.00V08.00V014.0V012.0V011.0V08.00V020.0V030.0V024.0V010.0V08.00V05.00V07.00V06.00V07.00V011.0V016.0V010.0V04.00V03.00V
2800900109490215053003.00V04.00V01.00V01.00V04.00V05.00V02.00V04.00V06.00V04.00V01.00V02.00V05.00V07.00V08.00V07.00V06.00V07.00V07.00V06.00V05.00V014.0V07.00V05.00V
28009001140602150530051.0V059.0V055.0V044.0V045.0V059.0V044.0V062.0V079.0V094.0V095.0V096.0V00112V00113V00106V00108V00108V00106V00106V087.0V079.0V077.0V083.0V084.0V
2800900181890215053001.10V02.00V01.60V01.60V02.90V02.50V01.50V02.10V02.20V02.20V03.00V03.50V03.20V03.30V02.80V02.70V02.00V02.80V02.30V02.40V02.30V02.70V04.10V03.90V
28009001828902150530083.0V00113V00129V021.0V049.0V058.0V066.0V094.0V00142V00193V00194V00179V00184V00354V026.0V00276V00177V00268V00250V022.0V019.0V033.0V066.0V048.0V
28009001838902150530016.4V015.7V014.6V013.6V012.9V015.0V016.8V018.5V020.3V022.9V024.1V025.2V026.2V024.3V023.4V026.1V027.7V027.7V027.4V024.9V023.1V021.3V018.8V017.8V
28009001868902150530064.0V066.0V070.0V075.0V077.0V069.0V067.0V060.0V053.0V046.0V042.0V039.0V034.0V037.0V039.0V032.0V028.0V026.0V029.0V026.0V029.0V034.0V050.0V055.0V
2800900187890215053000934V00934V00934V00934V00934V00934V00935V00935V00935V00935V00935V00934V00934V00934V00934V00933V00933V00933V00933V00933V00934V00935V00935V00935V
2800900188890215053004.00V04.00V04.00V04.00V05.00V040.0V00186V00368V00553V00725V00859V00943V00717V00154V00129V00733V00587V00391V00213V036.0V04.00V04.00V04.00V04.00V
2800900189890215053000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801300207080215053001.00V01.00V01.00V01.00V01.00V01.00V03.00V03.00V03.00V02.00V01.00V02.00V02.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V05.00V02.00V05.00V02.00V
28013002080802150530015.0V022.0V018.0V016.0V018.0V014.0V015.0V014.0V016.0V010.0V011.0V011.0V010.0V06.00V07.00V08.00V08.00V010.0V012.0V032.0V069.0V057.0V060.0V059.0V
28013002104902150530011.0V013.0V014.0V014.0V013.0V012.0V016.0V020.0V019.0V022.0V019.0V018.0V024.0V025.0V018.0V023.0V011.0V016.0V016.0V018.0V022.0V027.0V023.0V029.0V
28013002140602150530070.0V058.0V051.0V046.0V042.0V045.0V040.0V059.0V079.0V00108V00115V00116V00111V00120V00130V00132V00130V00121V00118V090.0V055.0V048.0V040.0V032.0V
2801300281890215053000.70V00.70V00.60V00.60V00.40V00.80V00.80V00.90V01.60V02.50V02.70V03.00V03.30V03.80V03.90V03.40V03.50V03.30V01.60V00.50V01.10V00.90V01.10V01.20V
28013002828902150530025.0V00279V042.0V043.0V032.0V039.0V05.00V025.0V00310V00254V00264V00253V00243V00269V00262V00252V00289V00285V00333V02.00V00214V00135V00268V060.0V
28013002838902150530018.4V017.8V015.6V015.0V013.9V013.7V015.4V018.0V021.1V023.1V024.4V026.1V027.6V028.4V029.1V029.3V028.9V028.5V028.3V027.4V025.7V023.6V022.2V020.7V
28013002868902150530056.0V058.0V067.0V069.0V075.0V078.0V073.0V064.0V054.0V047.0V042.0V033.0V025.0V026.0V023.0V023.0V027.0V030.0V028.0V030.0V033.0V037.0V039.0V043.0V
2801300287890215053000953V00953V00953V00953V00953V00954V00954V00955V00955V00955V00955V00954V00953V00953V00952V00952V00952V00952V00952V00952V00953V00954V00954V00954V
2801300288890215053004.00V04.00V04.00V04.00V04.00V088.0V00272V00471V00651V00804V00916V00974V00975V00910V00808V00655V00459V00283V00110V08.00V04.00V04.00V04.00V04.00V
2801300289890215053000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801400207080215053001.00V01.00V01.00V01.00V01.00V012.0V04.00V03.00V03.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
28014002080802150530029.0V028.0V022.0V022.0V022.0V043.0V028.0V025.0V026.0V019.0V010.0V09.00V09.00V08.00V07.00V011.0V014.0V010.0V011.0V033.0V031.0V037.0V027.0V019.0V
28014002104902150530017.0V021.0V021.0V012.0V017.0V020.0V035.0V020.0V021.0V031.0V071.0V021.0V022.0V028.0V027.0V031.0V031.0V021.0V018.0V013.0V023.0V029.0V094.0V039.0V
28014002140602150530051.0V051.0V053.0V050.0V042.0V024.0V036.0V047.0V070.0V091.0V00110V00119V00116V00109V00117V00113V00108V00114V00114V088.0V077.0V059.0V061.0V059.0V
2801400281890215053001.50V01.50V02.10V00.50V00.90V00.60V01.40V01.00V00.80V01.80V03.10V03.60V05.00V05.10V04.50V04.10V03.20V03.10V02.00V02.20V01.30V01.00V02.20V01.90V
2801400282890215053000181V00179V00195V00162V014.0V00176V026.0V014.0V00304V00261V00248V00244V00235V00225V00243V00242V00282V00255V00249V00193V00203V01.00V059.0V030.0V
28014002838902150530016.1V015.5V014.3V014.5V013.5V013.3V015.6V018.9V021.7V023.4V024.7V026.2V027.0V027.8V028.5V027.3V026.2V026.7V027.5V025.7V023.9V023.0V021.6V019.2V
28014002868902150530055.0V057.0V060.0V061.0V065.0V068.0V060.0V051.0V043.0V038.0V034.0V031.0V026.0V020.0V017.0V023.0V027.0V026.0V026.0V030.0V031.0V029.0V030.0V046.0V
2801400287890215053000947V00947V00947V00947V00947V00947V00948V00948V00948V00948V00948V00947V00947V00947V00946V00946V00946V00946V00946V00946V00947V00948V00948V00948V
2801400288890215053004.00V04.00V04.00V04.00V04.00V063.0V00224V00403V00579V00735V00856V00926V00949V00945V00779V00388V00175V00206V00158V020.0V04.00V04.00V04.00V04.00V
2801400289890215053000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801600101380215053001.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801600106480215053000.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600107080215053001.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801600108080215053003.00V04.00V04.00V04.00V04.00V05.00V05.00V05.00V06.00V05.00V05.00V04.00V05.00V04.00V05.00V04.00V04.00V04.00V04.00V04.00V04.00V05.00V03.00V03.00V
2801600109490215053005.00V08.00V06.00V02.00V01.00V02.00V01.00V03.00V06.00V07.00V05.00V03.00V05.00V08.00V08.00V03.00V01.00V01.00V03.00V06.00V013.0V08.00V04.00V03.00V
